key|装备名字|装备图标|装备职业归属|装备属于那个套装|装备部位(WEAPONHAND武器 WEAPONOFFHAND副手 HEAD头盔 BODY衣服 FOOT鞋子 HAND手套 NECK项链 YS药水)|装备等级区间|掉落关卡区间|每一级属性|装备的品质|装备权重|描述
string|string|string|string|string|string|int[]|string[]|float|int[]|float|string
Key|EquipName|Icon|Occ|Suit|Part|LvRange|LevelRange|LvValue|Pz|Range|Desc
A1|A2|Icon_128_Equip_Hat_01|FaShi|2|HEAD|1,50|0,50|1|1,2,3,4,5,6,7,8|100|普通帽子
A2|A9|Icon_128_Equip_Hat_02|FaShi|3|HEAD|1,50|0,50|5|1,2,3,4,5,6,7,8|100|麻布兜帽
A3|A10|Icon_128_Equip_Hat_03|FaShi|4|HEAD|1,50|0,50|10|1,2,3,4,5,6,7,8|100|野猪之皮帽
A4|A11|Icon_128_Equip_Hat_07|FaShi|2|NECK|1,50|0,50|2|1,2,3,4,5,6,7,8|100|兽牙挂饰
A5|A12|Icon_128_Equip_Hat_08|FaShi|3|NECK|1,50|0,50|5|1,2,3,4,5,6,7,8|100|野猪獠牙坠
A6|A13|Icon_128_Equip_Hat_09|FaShi|5|HEAD|1,50|0,50|5|1,2,3,4,5,6,7,8|100|魔法师之帽
A7|A14|Icon_128_Equip_Necklace_8|FaShi|5|NECK|1,50|0,50|5|1,2,3,4,5,6,7,8|100|哥布林吊坠
A8|A15|Icon_128_Equip_Weapon_09|FaShi|5|WEAPONHAND|1,50|0,50|5|1,2,3,4,5,6,7,8|100|暗黑法杖
A9|A16|Icon_128_Equip_Shirt_07|FaShi|6|BODY|1,50|0,50|5|1,2,3,4,5,6,7,8|100|大法师之袍
A10|||||||||||
A11|||||||||||
A12|||||||||||
A13|||||||||||
A14|||||||||||
A15|||||||||||
A16|||||||||||
A17|||||||||||
A18|||||||||||
A19|||||||||||
A20|||||||||||
A21|||||||||||
A22|||||||||||
A23|||||||||||
A24|||||||||||
A25|||||||||||
A26|||||||||||
A27|||||||||||
A28|||||||||||
A29|||||||||||
A30|||||||||||
A31|||||||||||
A32|||||||||||
A33|||||||||||
