key|中文
string|string
Key|Chinese
A1|打击外挂描述
A2|普通帽子
A3|普通
A4|法师
A5|需求等级:{0}
A6|生命+{0}
A7|护甲+{0}
A8|攻击+{0}
A9|麻布兜帽
A10|野猪之皮帽
A11|兽牙挂饰
A12|野猪獠牙坠
A13|魔法师之帽
A14|哥布林吊坠
A15|暗黑法杖
A16|大法师之袍
A17|白
A18|蓝
A19|紫
A20|橙
A21|银
A22|绿
A23|粉
A24|金
A25|攻击
A26|生命
A27|防御
A28|简单1
A29|火球术
A30|发射{2}个火球,对范围内敌人造成{0}火焰伤害
A31|冷却时间:{0}秒
A32|能量消耗:{0}
A33|[等级{0}]
A34|基础技能
A35|核心技能
A36|防御技能
A37|核心技能
A38|奥义技能
A39|被动技能
A40|冰霜碎片
A41|替代火球术连续射出{2}枚冰霜碎片,每枚造成{0}冰霜伤害
A42|多重
A43|魔法弹伤害提高{0}，魔法弹的数量增加{2}
A44|数量增加{2}
A45|点燃
A46|集中点燃敌人3秒,每秒造成{0}火焰伤害
A47|每秒造成{0}火焰伤害
A48|已解锁同类型技能:{0}
A49|未解锁前置技能:{0}
A50|简单2
A51|简单3
A52|简单4
A53|简单5
A54|简单6
A55|简单7
A56|简单8
A57|简单9
A58|简单10
A59|简单11
A60|简单12
A61|简单13
A62|简单14
A63|简单15
A64|这是个占位的关卡描述
A65|刷新倒计时:{0}
A66|每日次数:{0}/{1}
A67|金币
A68|钻石
A69|魔法弹
A70|向前发射两个魔法弹，每个造成{0}的伤害
A71|每个造成{0}的伤害
A73|伤害加深
A74|伤害提高{0}，并使命中得敌人在{3}秒内受到的伤害提高{4}
A75|伤害提高{4}
A76|散射
A77|火球变为同时发射{5}次并增加{2}个火球，提高{0}伤害
A78|造成{0}火焰伤害
A79|提高{0}伤害
A80|爆炸
A81|火球术伤害提高{0}，击中时发生爆炸，造成火焰伤害
A82|提高{0}
A83|冰弹术
A84|替代魔法弹，向前快速发射{2}枚冰弹每枚造成{0}的冰霜伤害
A85|每枚造成{0}的冰霜伤害
A86|弹射
A87|冰弹攻击到敌人后，会再弹射到附近敌人{5}次
A88|弹射到附近敌人{5}次
A89|减速
