key|关卡类型(11普通关卡)|关卡攻击加成|关卡生命加成|地图预制体|Boss出现进度值|游戏时长|boss战斗时间|关卡名字|关卡描述|白掉落概率|蓝掉落概率|紫掉落概率|橙掉落概率|银掉落概率|绿掉落概率|粉掉落概率|金掉落概率
string|int|double|double|string|int|float|float|string|string|float|float|float|float|float|float|float|float
Key|LevelType|AtkAdd|HpAdd|Prefab|BossProgress|LevelTime|BossTime|LevelName|LevelInfo|BAIGL|LANGL|ZIGL|CHENGGL|YINGL|LVGL|FENGL|JINGGL
NorLevel1|1|10|10|Map1|200|120|90|A28|A64||||||||
NorLevel2|1|100|50|Map2|200|120|90|A50|A64||||||||
NorLevel3|1|150|100|Map3|300|120|90|A51|A64||||||||
NorLevel4|1|200|150|Map3|400|120|90|A52|A64||||||||
NorLevel5|1|250|250|Map3|400|120|90|A53|A64||||||||
NorLevel6|1|300|300|Map3|400|120|90|A54|A64||||||||
NorLevel7|1|400|400|Map3|400|120|90|A55|A64||||||||
NorLevel8|1|500|500|Map3|400|120|90|A56|A64||||||||
NorLevel9|1|600|600|Map3|400|120|90|A57|A64||||||||
NorLevel10|1|700|700|Map3|400|120|90|A58|A64||||||||
NorLevel11|1|1000|1000|Map3|400|120|90|A59|A64||||||||
NorLevel12|1|1000|1000|Map3|400|120|90|A60|A64||||||||
NorLevel13|1|1000|1000|Map3|400|120|90|A61|A64||||||||
NorLevel14|1|1000|1000|Map3|400|120|90|A62|A64||||||||
NorLevel15|1|1000|1000|Map3|400|120|90|A63|A64||||||||
