key|没什么用就是看点位数量|怪物表key|怪物生成数量|增加进度值|Box类型(XG小怪 Box宝箱 SL首领)|血球掉落概率|血球恢复生命值(百分比)|能量球掉落概率|能量球恢复(百分比)|白掉落概率|蓝掉落概率|紫掉落概率|橙掉落概率|银掉落概率|绿掉落概率|粉掉落概率|金掉落概率|尝试掉落次数|描述
string|int|string|int|int|string|float|float|float|float|float|float|float|float|float|float|float|float|int|string
Key|Point|MonsterKey|monsterCount|ProgressCount|BoxType|XQGL|XQADD|NLGL|NLADD|BAIGL|LANGL|ZIGL|CHENGGL|YINGL|LVGL|FENGL|JINGGL|DlCount|Desc
Map1|1|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点1
Map1|2|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点2
Map1|3|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点3
Map1|4|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点4
Map1|5|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点5
Map1|6|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点6
Map1|7|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点7
Map1|8|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点8
Map1|9|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点9
Map1|10|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点10
Map1|11|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点11
Map1|12|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点12
Map1|13|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点13
Map1|14|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1||||||||1|点14
Map1|15|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|16|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|17|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|18|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|19|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|20|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
Map1|21|HaoZhu|1|10|XG|0.3|0.3|0.3|0.3|1|||||||||
