key|技能名字|伤害类型(0普通 1火焰 2冰霜)|是否是百分百|等级数值|等级CD|等级数量|时间|其他数值|次数|其他数值2|技能默认描述|技能升级描述|技能图标|属于职业|法力消耗|进入状态|技能范围|是否是主动技能|技能id|后置技能|技能前置解锁|不能解锁的其他技能|伤害类型(1普通伤害 2火焰伤害 3冰霜伤害)|技能类型(1基础技能 2核心技能 3防御技能 4辅助技能 5奥义技能 6被动技能 7天赋)
string|string|int|int|float[]|float[]|int[]|float[]|float[]|int[]|float[]|string|string|string|string|float[]|string|float|int|int|string[]|string[]|string[]|int|int
Key|SkillName|AtkType|IsBFB|LvValue|LvCD|LvCount|LvTime|LvOtherValue|LvChiShu|LvOtherValue2|SkillInfo|UpInfo|Icon|RoleType|MpXh|State|Range|IsActiveSkill|SkillId|SkillLUnLock|SkillFUnlick|SkillNotUnlockOther|HitType|SkillType
MoFaDan|A69||1|0.5,1.2,2|1|2|||||A70|A71|MoFaDang|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.MoFaDan||1|1|||HuoQiuShu,BinDanShu||1
DuoCon|A42||1|1||2,4|||||A43|A44|DuoChong|FaShi|||||2|ShangHaiJiaSheng||HuoQiuShu,BinDanShu||7
ShangHaiJiaSheng|A73||1|0.5|||4|0.2,0.3,0.5|||A74|A75|ShangHaiJiaSheng|FaShi|||||3||DuoCon|||7
HuoQiuShu|A29|1|1|1,2,4|1|3|||1||A30|A78|HuoQiuShu|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.HuoQiuShu||1|4|SanShe||DuoCon,BinDanShu||1
SanShe|A76||1|0.3,0.6,1||2|||2||A77|A79|SanShe|FaShi|||||5|BaoZha|HuoQiuShu|||7
BaoZha|A80||1|0.8,1.5|||||||A81|A82|BaoZha|FaShi|||||6||SanShe|||7
BinDanShu|A83|2|1|0.5,1.5,2.4|1|4|||||A84|A85|BingDangShu|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.BinDanShu||1|7|TanShe||HuoQiuShu,DuoCon||1
TanShe|A86||1||||||1,2,3||A87|A88|TangShe|FaShi|||3||8|JianShu|BinDanShu|||7
JianShu|A89||1|1.5,2|||3|0.3|||A90|A91|JianShu|FaShi|||||9||TanShe|||7
YunShiShu|A94|1|1|2.4,3,3.6,4.2,5|5|1|||||A95|A96|YunShiShu|FaShi|20|FrameWork.Script.State.BasePlayer.Skill.FaShi.YunShiShu|3|1|10|JuXing,XiaoXingXingFenLie||BinPaoXiao||2
JuXing|A97||1|0.4,0.8,1.2,2|||3|1||0.2|A98|A99|JuXing|FaShi|||||11|DuoChongZhaoHuan||XiaoXingXingFenLie||2
DuoChongZhaoHuan|A100|||||2,3,4|||||A101|A101|DuoChongZhaoHuan|FaShi|||||12|ZhuShaoShangHai|JuXing|||7
ZhuShaoShangHai|A102||1|0.4,0.8,1.5|||||||A103|A104|ZhuShao|FaShi|||||13||DuoChongZhaoHuan|||7
XiaoXingXingFenLie|A105||1|0.5,1.2,1.8||5|||||A106|A107|XiaoXingXingFenLie|FaShi|||||14|RanJin||JuXing||2
RanJin|A108||1|1||||0.15,0.3,0.45|||A109|A110|RangJing|FaShi|||||15|QunXinZuiLuo|XiaoXingXingFenLie|||7
QunXinZuiLuo|A116|||||6,12,18|||||A111|A112|QunXingZuiRuo|FaShi|||||16||RanJin|||7
BinPaoXiao|A117|2|1|2,2.6,3.2,3.8,4.5|5||3|0.2|||A118|A119|BingPaoXiao|FaShi|20|FrameWork.Script.State.BasePlayer.Skill.FaShi.BinPaoXiao|3|1|17|KuoDa,DonJie||YunShiShu||2
KuoDa|A120|||||||0.6,1.2,2|||A120|A121|KuoDa|FaShi|||||18|ShengHan|BinPaoXiao|||7
ShengHan|A124||1|0.25,0.5,0.8|||||||A122|A123|ShengHang|FaShi|||||19|PoSuiHuiXiang|KuoDa|||7
PoSuiHuiXiang|A125||||||||2,3||A126|A127|PoShuiHuiXiang|FaShi|||||20||ShengHan|||7
DonJie|A128||1|0.04,0.08,0.12||10|2||20||A129|A130|DongJie|FaShi|||||21|NinSuan|BinPaoXiao|||7
NinSuan|A131||1|0.5,0.8,1.2|||||5||A132|A133|NinSuan|FaShi|||||22|YonDon|DonJie|||7
YonDon|A134||1|3,5|||2||10||A135|A136|YongDong|FaShi|||||23||NinSuan|||7
JinXiu|A137||1|0.04,0.08,0.12,0.16,0.2|||||||A138|A138|JuXing|FaShi|||||24|||||6
ChongNeng|A139|||||8,12,16|5||||A140|A140|ChongNeng|FaShi|||||25|||||6
XunJieRuFeng|A141||1|||||0.1,0.2,0.3|||A142|A142|XunJieRuFeng|FaShi|||||26|||||6
TiPoQiangJian|A143||1|||||0.05,0.1,0.15,0.2,0.3|||A144|A144|TiPoQiangJiang|FaShi|||||27|||||6
MoFaDun|A146||1||30||10|0.3,0.4,0.5|||A147|A148|MoFaDun|FaShi|30|FrameWork.Script.State.BasePlayer.Skill.FaShi.MoFaDun||1|28|||||3
HuiLan|A149|||||5,10|||||A150|A151|HuiLang|FaShi|||||29|||||7
LenQue|A152|||||||0.2,0.3,0.4|||A153|A153|LengQue|FaShi|||||30|||||7
MoFaLinYu|A154||1||100|||0.3,0.4,0.5||0.5|A155|A156|MoFaLinYu|FaShi|30|FrameWork.Script.State.BasePlayer.Skill.FaShi.MoFaLinYu|5|1|31|HuiLan||MoLiShangXian||3
WeiYa|A157||1|0.15,0.3,0.45|||||||A158|A159|WeiYa|FaShi|||||32|LenQue|MoFaDun|||7
YouYa|A160||1|||||0.1,0.2,0.3|||A161|A162|YouYa|FaShi|||||33||HuiLan|||7
MoLiShangXian|A163||1|||15,30,45,60,100|||||A164|A164|MoLiShangXiang|FaShi|||||34|ZhongJi||MoFaLinYu||6
ZhongJi|A165||1|0.2,0.4,0.6||||0.5|||A166|A167|ZhongJi|FaShi|||||35|ZhuiJi|MoLiShangXian|||6
ZhuiJi|A168||1|0.2,0.4,0.6||||0.5|||A169|A170|ZhuiJi|FaShi|||||36||ZhongJi|||6
ShangBi|A171||1|||||0.04,0.08,0.12,0.16,0.2|||A172|A172|ShangBi|FaShi|||||37|||||6
LaoLieRen|A173||1|0.1,0.2,0.3|||||||A174|A175|LaoLieRen|FaShi|||||38|||||6
JiQu|A176||1|||1,2,3,5||0.1,0.2,0.3,0.5|||A177|A178|JiQu|FaShi|||||39|||||6
KuanRe|A179||1|0.3,0.4,0.5||||0.15,0.2,0.5|||A180|A180|KuanRe|FaShi|||||40|||||6
HuoYanZhaDan|A186|1|1|5,6,8|5|1,2,3|||1||A187|A188|HuoYanZhaDan|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.HuoYanZhaDan|3|1|41|YingLi||SuiBinSanShe||4
YingLi|A189||1|||||0.2,0.4,0.6|||A190|A191|YingLi|FaShi|||||42|BaoPo|HuoYanZhaDan|||7
BaoPo|A192||1||||||2,3,4||A193|A193|BaoPo|FaShi|||||43||YingLi|||7
HuoLiFuGai|A194||1|||4,6,9|||||A195|A195|HuoLiFuGai|FaShi|||||44|BaoLie|HuoYanZhaDan|||7
BaoLie|A196||1|3,4,6||||0.15|||A197|A198|BaoLie|FaShi|||||45||HuoLiFuGai|||7
SuiBinSanShe|A208|2|1|0.6,1,1.5|1|4,6,9|||||A209|A210|SuiBingSanShe|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.SuiBingSanShe|5|1|46|ChuangTou||HuoYanZhaDan||7
ChuangTou|A211||1|0.5,1,2|||||||A212|A212|ChuangTou|FaShi|||||47|FenLie|SuiBinSanShe|||7
FenLie|A213||1|||5,8|||||A214|A214|FengLie|FaShi|||||48||ChuangTou|||7
HeiDong|A215||1|||6,9,12|||||A216|A216|HeiDong|FaShi|||||49|LaoYing|SuiBinSanShe|||7
LaoYing|A218|||0.05,0.1|||10||30||A219|A220|LaoYing|FaShi|||||50|HeiDong||||7
WanPaiLieShou|A199||1|||||0.1,0.2,0.3|||A200|A200|WanPaiLieShou|FaShi|||||51|ShiJianYaSuo||||6
ShiJianYaSuo|A201||1|||||0.05,0.1,0.15|||A202|A202|ShiJianYaSuo|FaShi|||||52||WanPaiLieShou|||6
ZhangKon|A203|||0.2,0.3,0.4||||0.05,0.1,0.15||0.5|A204|A204|ZhangKong|FaShi|||||53|YingLian||||6
YingLian|A205||1|||||0.3,0.5,1|||A206|A207|NingLian|FaShi|||||54||ZhangKon|||6
JinZhouFaShi|A222||1|0.1|2|||0.15|||A223|A223|JingZhouFaShi|FaShi||FrameWork.Script.State.BasePlayer.Skill.FaShi.JingZhouFaShi|10|1|55|MoRiShengPan||||5
MoRiShengPan|A224|1|1|16,18,24|||15|0.3|||A225|A226|MoRiShengPan|FaShi|||||56|HuaWeiHuiJin|JinZhouFaShi|JueDuiLinDu||7
HuaWeiHuiJin|A227||1|0.1,0.2,0.3|||||||A228|A228|HuaWeiHuiJing|FaShi|||||57||MoRiShengPan|||7
JueDuiLinDu|A229|2|1|15,16,21||20|10||45||A230|A231|JueDuiLingDu|FaShi|||||58|ShengHangRuGu|JinZhouFaShi|MoRiShengPan||7
ShengHangRuGu|A232||1|0.1,0.2,0.3|||||||A233|A233|ShengHangRuGu|FaShi|||||59||JueDuiLinDu|||7
HuoZhiZi|A234||1|0.05,0.1,0.15,0.2,0.25|||||||A235|A235|HuoZhiZi|FaShi|||||60|||||6
BingZhiZi|A236||1|0.05,0.1,0.15,0.2,0.25|||||||A237|A237|BingZhiZi|FaShi|||||61|||||6
YaoShuiDaShi|A238||1|||||0.3|||A239|A239|YaoShuiDaShi|FaShi|||||62|||||6
